Virtual User Script started at: 22-02-2024 16:36:16	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 2023.0.0 for Windows 10; build 506 (Mar 08 2023 13:11:40)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36  	[MsgId: MMSG-26988]
Runtime Settings file: "C:\Users\Administrator\AppData\Local\Temp\lr5tmpdirVRl.258\lrcfg7sg.259\cfgaY8.260"  	[MsgId: MMSG-27141]
vuser_init.c(12): web_set_sockets_option started  	[MsgId: MMSG-26355]
vuser_init.c(12): web_set_sockets_option was successful  	[MsgId: MMSG-26392]
vuser_init.c(14): web_url("thinking-tester-contact-list.herokuapp.com") started  	[MsgId: MMSG-26355]
vuser_init.c(14): Found resource "https://thinking-tester-contact-list.herokuapp.com/css/styles.css" in HTML "https://thinking-tester-contact-list.herokuapp.com/"  	[MsgId: MMSG-26659]
vuser_init.c(14): Found resource "https://thinking-tester-contact-list.herokuapp.com/img/thinkingTesterLogo.png" in HTML "https://thinking-tester-contact-list.herokuapp.com/"  	[MsgId: MMSG-26659]
vuser_init.c(14): Found resource "https://thinking-tester-contact-list.herokuapp.com/js/login.js" in HTML "https://thinking-tester-contact-list.herokuapp.com/"  	[MsgId: MMSG-26659]
vuser_init.c(14): web_url("thinking-tester-contact-list.herokuapp.com") was successful, 15841 body bytes, 3239 header bytes  	[MsgId: MMSG-26386]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Warning -27077: The "vuser_init" section contains web function(s) when the "Simulate a new user on each iteration" Runtime Setting is ON.  This may produce unpredictable results with multiple iterations  	[MsgId: MWAR-27077]
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(6): lr_think_time: 54.00 seconds.	[MsgId: MMSG-15948]
Action.c(8): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
Action.c(8): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
Action.c(17): web_custom_request("login") started  	[MsgId: MMSG-26355]
Action.c(17): Notify: Parameter Substitution: parameter "Email" =  "mariab@gmail.com"	[MsgId: MMSG-13992]
Action.c(17): Notify: Parameter Substitution: parameter "Password" =  "9876543210"	[MsgId: MMSG-13992]
Action.c(17): Notify: Saving Parameter "tokenParameter = eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI2NWQ2ZjA4MmYxNTY2NTAwMTNkNGRmYjciLCJpYXQiOjE3MDg2MDAwMzJ9.NSozzF7RO1D11RAs07GPH7qjNNS2HZGOAPiota2swh4".	[MsgId: MMSG-13798]
Action.c(17): web_custom_request("login") was successful, 276 body bytes, 998 header bytes  	[MsgId: MMSG-26386]
Action.c(29): web_url("contactList") started  	[MsgId: MMSG-26355]
Action.c(29): Found resource "https://thinking-tester-contact-list.herokuapp.com/css/styles.css" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(29): Found resource "https://thinking-tester-contact-list.herokuapp.com/img/thinkingTesterLogo.png" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(29): Found resource "https://thinking-tester-contact-list.herokuapp.com/js/contactList.js" in HTML "https://thinking-tester-contact-list.herokuapp.com/contactList"  	[MsgId: MMSG-26659]
Action.c(29): web_url("contactList") was successful, 4709 body bytes, 3261 header bytes  	[MsgId: MMSG-26386]
Action.c(38): web_custom_request("json") started  	[MsgId: MMSG-26355]
Action.c(38): Warning: The string '"fp":"1.aeedb246d19256a956fedaa89fb62423ae5bd8855a2a1f3189161cf045645a19"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '5ab5b8f0-b0ef-4cdc-9068-1db9039f3dc8' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.c900ba9a2d8318263fd43782ee6fd5fb50bad78bf0eb2c972b5922c458af45ed"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '0ab04dee-3dee-4dfd-8d49-4046e02e624e' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '79edb1d3-6a67-4d41-a888-72f4cf51e168' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.cd1978742a4afdbaaa15bf712d5c90bef4144caa99024df98f6a9ad58043ae85"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '679a359e-b0e9-41cc-9532-22fbf95812e3' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.b9685d1e3054ce061c8c804b6e8983c6f62deb37d3882c2de2ef300666e91af3"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'c30666b1-b9cd-480b-838e-d34148d0bd56' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.04dfbee1ec2fd167512805dedf3fa2a823dc28fe9fa2c97a74e664b38486110f"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'b0b6e648-23bd-40ee-af1c-35ef32ce0248' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.4a6508925b2ffec931c1e3931ddeb15ca41d820a8264cd5a962b526e9932bcdf"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'a5e0b29e-b2db-4751-bd86-871af0730dd5' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.fd515ec0dc30d25a09641b8b83729234bc50f4511e35ce17d24fd996252eaace"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '95ffcd7d-2920-4cb9-9510-755f723cc027' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.f4f1eb04881095d1cc8f2e1799a8144c10476dc1088a03ecdb4418644040a554"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string 'c87f63eb-1a3e-4a65-a514-04bba7f81240' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.630414f6b053d4455bba45e07513742a8bfc72e591f3a010f0e636a83df4eed7"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '5e141207-4be5-4e58-85ef-eb5aff0d982d' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.93bad6a3d7ac28485190495b33735420f459ac0a31f8a958f46f52cdfe1dbd7a"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '32d21e65-9f78-4d88-9133-633f0754b397' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '32cbef71-42d5-4848-a911-a19846b6fd42' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '"fp":"1.a8a79d350c2a5e3bc36226633a8e0bed0dfab184e77f38fc8f0820ebacf8eafc"' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
Action.c(38): Warning: The string '1ba1499c-9229-42aa-a04f-c0c29b9314c0' with parameter delimiters is not a parameter.	[MsgId: MWAR-13987]
