"Relative Time","Throughput"
"00:00","0"
"00:08","925.25"
"00:16","925.25"
"00:24","0"
"00:32","7598.125"
"00:40","0"
"00:48","6672.875"
"00:56","0"
"01:04","10467.5"
"01:12","3794.625"
"01:20","0"
"01:28","3794.625"
"01:36","0"
"01:44","0"
"01:52","0"
"02:00","0"
"02:08","0"
"02:16","485.375"
"02:24","0"
"02:32","485.375"
"02:40","0"
"02:48","1039.25"
"02:56","0"
"03:04","553.875"
"03:12","0"
"03:20","553.875"
"03:28","7418.25"
"03:36","0"
"03:44","8010.5"
"03:52","0"
"04:00","3794.625"
"04:08","0"
"04:16","3794.625"
"04:24","0"
"04:32","0"
"04:40","0"
"04:48","0"
"04:56","0"
"05:04","0"
"05:12","485.375"
"05:20","0"
"05:28","485.375"
"05:36","0"
"05:44","553.875"
"05:52","0"
"06:00","553.875"
"06:08","0"
"06:16","0"
"06:24","0"
"06:32","0"
"06:40","0"
"06:48","592.25"
"06:56","592.25"
"07:04","0"
