"Relative Time","Hits"
"00:00","0"
"00:04","3.25"
"00:08","0.5"
"00:12","4.75"
"00:16","3.75"
"00:20","7.5"
"00:24","5"
"00:28","2.5"
"00:32","7.5"
"00:36","3.75"
"00:40","8.25"
"00:44","4"
"00:48","0.5"
"00:52","7.25"
"00:56","2"
"01:00","0.25"
"01:04","0.25"
"01:08","3.25"
"01:12","0.75"
"01:16","0"
"01:20","3.75"
"01:24","0.25"
"01:28","0"
"01:32","0"
"01:36","0"
"01:40","0"
"01:44","0"
"01:48","3.25"
"01:52","1.5"
"01:56","0"
"02:00","3.25"
"02:04","1.5"
"02:08","0"
"02:12","3.25"
"02:16","0"
"02:20","5.25"
"02:24","1.25"
"02:28","0"
"02:32","3.75"
"02:36","1.25"
"02:40","0"
"02:44","10.25"
"02:48","0"
"02:52","5"
"02:56","6.75"
"03:00","0"
"03:04","3.5"
"03:08","0"
"03:12","2.75"
"03:16","7.5"
"03:20","0"
